State,Scheme,Cycle,n_High,n_Medium,n_Low,p_High,p_Medium,p_Low,k_High,k_Medium,k_Low,OC_High,OC_Medium,OC_Low,pH_Alkaline,pH_Acidic,pH_Neutral,EC_NonSaline,EC_Saline,S_Sufficient,S_Deficient,Fe_Sufficient,Fe_Deficient,Zn_Sufficient,Zn_Deficient,Cu_Sufficient,Cu_Deficient,B_Sufficient,B_Deficient,Mn_Sufficient,Mn_Deficient
ANDAMAN & NICOBAR,,2025-26,0.01,7.83,92.16,0.01,3.48,96.51,0.01,5.32,94.67,0.3,4.88,94.82,0,9.05,90.95,91.46,8.54,6.51,93.49,99.63,0.37,87.04,12.96,96.47,3.53,96.08,3.92,99.99,0.01
ANDHRA PRADESH,,2025-26,0.9,19.24,79.86,47.49,35.26,17.25,59.15,28.21,12.64,15,27.53,57.47,5.21,0.93,93.86,94.64,5.36,85.62,14.38,59.87,40.13,55.71,44.29,90.75,9.25,73.12,26.88,81.42,18.58
ARUNACHAL PRADESH,,2025-26,16.95,73.84,9.21,27.8,64.62,7.59,12.04,65.07,22.88,44.14,44.6,11.26,0.08,51.81,48.11,95.26,4.74,84.61,15.39,89.47,10.53,94.07,5.93,94.49,5.51,76.35,23.65,85.55,14.45
ASSAM,,2025-26,51,48.53,0.48,68.78,23.17,8.04,7.42,40.71,51.87,58.03,15.63,26.34,0,51.15,48.85,99.99,0.01,95.77,4.23,96.81,3.19,64.42,35.58,97.01,2.99,36.81,63.19,87.79,12.21
BIHAR,,2025-26,0.96,37.56,61.48,77.52,19.29,3.2,18.16,75.31,6.53,11.53,52.56,35.91,1.24,2.56,96.2,98.93,1.07,79.08,20.92,91.64,8.36,77.41,22.59,99.05,0.95,60.4,39.6,95.69,4.31
CHHATTISGARH,,2025-26,0.6,17.81,81.58,6.71,64.84,28.45,38.57,55.32,6.1,14.6,39.54,45.86,0.05,11.36,88.58,99.6,0.4,66.81,33.19,93.22,6.78,59.78,40.22,98.41,1.59,75.62,24.38,98.85,1.15
GOA,,2025-26,20.59,37.37,42.04,35.91,24.01,40.08,44.63,42.36,13.01,67.4,16.97,15.63,0,42.44,57.56,89.45,10.55,38.35,61.65,96.86,3.14,64.61,35.39,95.01,4.99,47.14,52.86,94.21,5.79
GUJARAT,,2025-26,0.93,21.24,77.84,66.67,27.75,5.58,54.46,38.36,7.18,33.02,33.83,33.15,4.28,0.26,95.46,77.77,22.23,81.89,18.11,71.22,28.78,70.11,29.89,96.35,3.65,42.75,57.25,91.12,8.88
HARYANA,,2025-26,0,0,100,20.72,44.44,34.84,19.4,55.25,25.35,4.19,18.05,77.76,1.96,0.05,97.99,92.32,7.68,95.54,4.46,67.17,32.83,77.39,22.61,95.84,4.16,36.89,63.11,74.91,25.09
HIMACHAL PRADESH,,2025-26,1.42,49.82,48.77,30.58,59.72,9.71,39.68,50.44,9.89,75.28,17.54,7.18,0.06,0.7,99.24,99.9,0.1,75.25,24.75,89.36,10.64,92.95,7.05,96.78,3.22,98.38,1.62,74.35,25.65
