State,Year,Crop,N,P,K,pH,Temperature,Humidity,Rainfall
Assam,1997,Arecanut,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Arhar/Tur,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Castor seed,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Coconut ,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Cotton(lint),60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Dry chillies,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Gram,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Jute,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Linseed,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Maize,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Mesta,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Niger seed,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Onion,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Other  Rabi pulses,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Potato,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Rapeseed &Mustard,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Rice,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Rice,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Rice,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Sesamum,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Small millets,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Sugarcane,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Sweet potato,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Tapioca,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Tobacco,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Turmeric,60,18,38,5.8,22.41,70.71,1468.92
Assam,1997,Wheat,60,18,38,5.8,22.41,70.71,1468.92
Karnataka,1997,Arecanut,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Arhar/Tur,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Bajra,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Bajra,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Black pepper,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Cardamom,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Coriander,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Dry chillies,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Dry chillies,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Garlic,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Ginger,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Groundnut,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Groundnut,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Horse-gram,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Horse-gram,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Jowar,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Jowar,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Jowar,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Maize,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Maize,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Maize,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Ragi,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Ragi,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Ragi,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Rice,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Rice,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Rice,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Sugarcane,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Turmeric,72,42,25,6.9,23.55,69.61,894.16
Karnataka,1997,Wheat,72,42,25,6.9,23.55,69.61,894.16
Kerala,1997,Arecanut,65,28,50,5.7,27.06,78.82,2005.29
Kerala,1997,Black pepper,65,28,50,5.7,27.06,78.82,2005.29
Kerala,1997,Cashewnut,65,28,50,5.7,27.06,78.82,2005.29
Kerala,1997,Coconut ,65,28,50,5.7,27.06,78.82,2005.29
Kerala,1997,Tapioca,65,28,50,5.7,27.06,78.82,2005.29
Meghalaya,1997,Arecanut,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Arhar/Tur,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Banana,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Castor seed,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Cotton(lint),52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Dry chillies,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Ginger,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Gram,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Jute,52,16,33,5.6,17.16,77.31,1954.46
Meghalaya,1997,Linseed,52,16,33,5.6,17.16,77.31,1954.46
